Idioma_preferencia,Residencia_habitual,Quienes_conviven,Cuantos_menores,Cuantas_horas_audiovisuales_ayer,Horas_internet_ayer,Grado_interes_videojuegos,Media_horas_juego_semanal,Multijugador,Juego_nocturno,Frecuencia_compra_dentro_juego,Importe_anual_compras_dentro_VJ,Impacto_VJ_en_hijo_menor,Horas_musica_ayer,Cuantos_conciertos_año,Cuantos_festivales_año,Macrofestivales,Con_quien_concierto,Cuantas_pelis_3_meses,Version_pelis,Con_quien_cine,Cuantos_espectaculos_año,Cuantos_festivales_escenicas_año,Con_quien_espectaculos,Cuantas_visitas_museo,Cuantas_visitas_galeria_arte,Cuantas_visitas_salas_expos,Cuantas_visitas_monumentos,Cuantas_expos_otros,Con_quien_expos,Cuando_visita_expos,Tipo_museo_expo,Donde_ultimo_museo,Cuantos_libros_año,Cuantos_audiolibros,Idioma_libros,Escucha_audiolibros,Feria_festival_libros,Libros_educativos_profesionales,idioma_biblioteca,idioma_asociacion,Cual_fue_primera_lengua,Lengua_habitual,Lengua_indentitaria,Lenguas_en_casa,Lengua_trabajo,Lengua_deportes,Lengua_tiendas,Lengua_restauracion,Lengua_medicos,Lengua_chatear,Donde_nacio,Nacionalidad,Origen_padre,Estudios_padre,Origen_madre,Estudios_madre,Situacion_laboral,Regimen_laboral,Profesion,Estudios_acabados,Sustentador_principal,Situacion_laboral_sust_ppal,Estudios_sust_ppal,Convivientes_con_ingresos,Ingresos_totales_hogar,Ingresos_personales,Sexo,Edad,Tam_Mun,Amb_Terr,Formato_diario_ayer,Idioma_diarios_ayer,Formato_revistas_ayer,Idioma_revistas_ayer,Formato_radio_ayer,Idioma_radio_ayer,Como_ha_visionado,Tipo_de_programas,Lenguas,Gratis_Pagos_Descargas,Lengua_pelis_series,Por_que_no_juega_videojuegos,Soporte,Idioma_vj,Generos_vj,Personajes_que_faltan,Donde_compra_VJ,Cuales_competencias_VJ,Idioma_música,Estilo_musica,Soporte_musica,Motivos_no_escucha_musica,Idioma_co,Estilo_musica_co,Motivos_no_va_a_conciertos,Idioma_cn,Generos_cine,Motivos_no_va_al_cine,Idioma_es,Motivos_no_ve_espectaculos,Actividades_en_museos,Como_se_entero_ex,Motivos_no_visita_museos,Genero_libros,Como_se_entero_li,Motivos_no_lee,Motivo_visita_biblioteca,Tareas_realizadas,Ambito_asociacionismo,Idioma_en_internet,Usos_internet,Conceptos_asociados_videojuegos,Lengua_habitual_hogar,Dominio_linguistico,valores_positivos_videojuegos,valores_negativos_videojuegos,VJ,MU,CO_FE,CI,ES,EX,LI
1,3,5,0.0,4.0,2.0,4,0.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,3.0,0.0,2,2,2,4,4,4,3,6,6,4,1,1,1,1,1,4,2,0.0,0.0,4,2,1.0,0.0,2,5.0,0.0,1,1,2,0.0,0,0,0,0,1,1,"2,4","1,8",2,"1,6",2,0,3,"2,3",12,10,2,0,"2,3","3,5,7",4,0,0,0,10,2,"1,2",0,8,0,0,0,10,5,8,0,2,7,0,"1,3","3,4,6","1,2",2,"1,2,3","[99, nan]","[99, nan]",0.0,2.0,0.0,1.0,1.0,0.0,2.0
2,4,4,2.0,5.0,3.0,7,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,6,6,6,6,4,0,3,3,3,5,3,3,3,2,3,2,1,1.0,5.0,2,1,0.0,0.0,1,1.0,0.0,0,3,3,0.0,0,0,3,2,1,"1,2",2,"2,3,6","1,2","1,2",2,0,6,2,1,10,"1,2",0,0,0,0,4,0,0,4,0,0,"1,2",0,"1,2",4,"3,5",0,0,0,"1,2",0,0,0,2,"1,5,7",3,6,"1,2","[5, 2.0]","[99, nan]",1.0,0.0,0.0,0.0,0.0,8.0,0.0
1,6,2,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,1,0,2,2,2,2,1,1,1,1,1,1,1,4,0.0,0.0,2,4,0.0,0.0,1,0.0,3.0,1,4,2,0.0,0,0,0,0,1,1,3,"1,5",2,2,2,3,0,0,0,0,4,12,"1,2",6,"1,8",0,0,0,6,0,0,10,0,6,0,0,6,0,0,4,0,0,0,7,11,4,1,4,"[3, 99.0]","[3, 6.0]",0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,5,5,1.0,6.0,5.0,0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0,0.0,0.0,0.0,2,1,1,1,2,0,1,1,1,3,1,1,2,2,1,2,4,0.0,0.0,4,1,0.0,0.0,1,2.0,0.0,1,3,3,0.0,0,0,0,0,"1,3","1,2",3,3,2,2,2,3,0,0,0,0,4,12,"1,2",1,"1,8",0,2,1,0,0,0,4,0,"1,2,3",0,0,4,1,8,0,0,0,0,1,"1,7",1,1,4,"[3, 2.0]","[4, 1.0]",0.0,4.0,2.0,0.0,0.0,0.0,1.0
1,2,2,0.0,3.0,2.0,10,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2,1,3,1,3,3,3,3,3,1,1,1,2,1,4,1,1.0,8.0,3,1,0.0,0.0,0,0.0,0.0,0,2,4,0.0,2,1,2,"1,2","1,3",1,4,"1,5,7",2,"1,2",2,0,1,2,4,10,1,0,"2,3","5,7","5,8",0,"2,3","5,7",0,2,"5,6",0,0,4,0,0,4,0,0,4,0,0,0,"1,2","1,3",1,"1,2",1,"[3, 99.0]","[4, 1.0]",2.0,3.0,6.0,1.0,0.0,0.0,0.0
1,3,4,0.0,3.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,2.0,5.0,1.0,2.0,4.0,0.0,2.0,3.0,2.0,3.0,5.0,0.0,4.0,1.0,4.0,2.0,5.0,0.0,1.0,0.0,1,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,4,0.0,0.0,5,1,0.0,0.0,2,5.0,0.0,1,4,3,0.0,"2,3",1,2,1,1,1,"1,2,3","2,3,5,6",1,"2,3",1,3,0,0,0,0,4,12,"1,6","3,4,6","1,8",0,"1,2,3,6","1,4,6",0,"1,2",11,0,1,0,1,6,0,"2,4,6,7","2,3,6",0,0,0,2,1,"1,4,7,8","1,2,8",1,4,"[3, 4.0]","[99, nan]",0.0,4.0,7.0,5.0,4.0,13.0,5.0
2,3,4,0.0,5.0,4.0,7,2.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2,2,5,5,5,4,4,4,5,1,1,1,3,1,4,1,1.0,5.0,4,2,1.0,0.0,3,5.0,0.0,1,1,3,0.0,0,0,0,0,1,1,"1,3",1,2,1,2,0,1,2,"4,6",10,0,0,"2,3","1,5",4,0,2,3,0,2,"4,5",0,0,8,0,0,4,0,0,4,0,0,0,2,"4,7","1,4",2,"1,2,3","[3, 99.0]","[3, 1.0]",2.0,4.0,1.0,1.0,0.0,0.0,0.0
2,6,4,1.0,3.0,4.0,6,5.0,1.0,0.0,4.0,100.0,3.0,3.0,1.0,5.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,10.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1,1.0,0.0,0.0,4,1,4,1,3,3,1,1,3,2,3,3,3,4,3,4,1,1.0,8.0,4,1,0.0,0.0,2,4.0,0.0,0,3,4,0.0,"1,3",1,"1,3",1,"1,3",1,"1,2,3,4","1,2,3,4,5,6,7",1,"1,2,3,6",1,0,1,4,"1,2,3,4,6,7,8,9",10,"1,2",0,1,"1,2,3,4,5,6,7",8,0,1,1,0,1,"1,2,3,4,5,6,7,8,9",0,0,4,1,6,0,10,8,0,0,0,0,"1,2",9,2,1,4,"[2, 3.0]","[99, nan]",5.0,3.0,6.0,1.0,0.0,15.0,1.0
1,3,5,0.0,4.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2,1,1,1,2,2,2,2,2,2,1,1,1,0,2,0,1,1.0,1.0,5,1,0.0,0.0,2,5.0,0.0,0,4,4,0.0,"2,3",2,0,0,"1,3",1,"3,4","1,2,7","1,2","1,2","1,2",3,0,0,0,0,4,12,3,"1,2","4,8",0,0,0,4,0,0,"4,8",0,4,0,0,5,"1,6",6,0,0,0,0,"1,2,3","1,3","1,2,6",1,"1,2,3","[3, 5.0]","[1, 4.0]",0.0,4.0,0.0,0.0,0.0,0.0,2.0
1,3,5,1.0,3.0,3.0,9,4.0,1.0,1.0,4.0,100.0,0.0,4.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,2,0,2,2,2,2,4,1,1,1,5,1,5,2,0.0,0.0,5,2,1.0,0.0,2,7.0,0.0,0,2,3,0.0,0,0,0,0,"1,4",1,2,"2,5","2,3",2,2,0,"1,6","2,3","2,6",10,2,0,"1,2,3,4","2,3,4,5,7","3,7",0,"3,6",7,0,2,2,0,0,"1,8",0,0,10,0,0,4,0,0,0,2,"3,4,7","1,5","1,2","1,2,3","[3, 2.0]","[4, 1.0]",4.0,4.0,1.0,3.0,0.0,0.0,0.0
1,1,5,0.0,4.0,3.0,10,4.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,5.0,3.0,1.0,8.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,1,3,2,1,1,1,1,1,1,1,2,1,5,1,1.0,2.0,3,2,1.0,0.0,4,0.0,0.0,0,1,5,0.0,3,1,0,0,0,0,4,"1,8","1,2","1,6",3,0,1,3,11,10,2,0,"1,2,3","3,7",4,0,2,"2,7",0,6,"5,6",0,0,1,1,6,0,0,0,"1,4",0,0,0,"1,2,3","1,2,3,4,5,6",3,1,"1,2,3","[1, 3.0]","[99, nan]",4.0,2.0,4.0,2.0,0.0,17.0,0.0
2,3,5,0.0,3.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0,3.0,3.0,0.0,2,2,2,3,3,3,3,3,3,3,1,1,1,6,1,6,1,2.0,0.0,3,2,1.0,0.0,2,0.0,0.0,1,0,4,0.0,0,0,0,0,0,0,"3,4",1,"1,2,3","1,2",2,3,0,0,0,0,4,12,"2,3","1,7,8",3,0,6,"1,7",0,2,"1,4,5,6,8",0,"1,2",0,"1,5,6",6,0,1,"1,3,5",0,2,7,0,"1,2,3","3,4,6","1,2","1,2","1,2,3","[99, nan]","[1, 3.0]",0.0,1.0,3.0,2.0,4.0,7.0,1.0
1,3,4,0.0,5.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1,1,1,1,2,0,1,1,1,1,1,1,1,4,2,1,1,2.0,0.0,4,1,0.0,0.0,4,5.0,0.0,1,4,4,0.0,0,0,1,1,1,1,3,"3,5",1,2,7,3,0,0,0,0,4,12,3,1,8,0,3,1,0,2,"5,6",0,1,0,0,0,1,1,8,0,0,0,0,1,7,1,1,1,"[3, 99.0]","[1, 3.0]",0.0,5.0,1.0,2.0,2.0,0.0,4.0
1,3,5,0.0,4.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,1.0,0.0,3.0,2.0,2.0,4.0,1.0,0.0,3.0,10.0,5.0,2.0,10.0,5.0,4.0,2.0,4.0,4.0,7.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1,1,1,1,1,2,2,2,1,1,1,1,1,3,1,3,2,0.0,0.0,6,2,1.0,0.0,4,4.0,0.0,1,2,4,0.0,3,1,1,1,1,1,4,"1,2,3","1,2",1,1,3,0,0,0,0,4,12,"1,2,3","1,3,5","4,5",0,1,1,0,"1,2","2,5,6",0,1,0,1,"2,4",0,1,8,0,0,0,0,"1,2,3","3,7","1,4,6",1,"1,2,3","[3, 5.0]","[4, 1.0]",0.0,4.0,11.0,2.0,1.0,32.0,7.0
1,2,3,0.0,4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,1,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,4,0.0,0.0,5,4,4.0,5.0,2,4.0,0.0,0,4,4,0.0,"2,3",1,0,0,1,1,"1,2,3","2,3,6,7",1,"1,2,3",1,3,0,0,0,0,4,12,"1,6",6,"3,8",0,1,"1,6",0,0,0,"7,8",1,0,1,1,0,"1,2",8,0,0,0,4,"1,2",1,1,1,1,"[3, 99.0]","[6, 99.0]",0.0,5.0,2.0,0.0,3.0,10.0,2.0
1,1,4,1.0,2.0,2.0,10,6.0,0.0,0.0,3.0,150.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2,2,2,5,4,5,4,5,5,5,1,1,1,2,1,2,3,0.0,0.0,3,3,4.0,0.0,2,0.0,0.0,0,1,5,0.0,0,0,0,0,0,0,"2,3","5,8",2,2,2,0,"1,6",2,"1,6",10,1,0,"2,3",1,5,0,0,0,4,0,0,"4,7,8",0,"1,4,8",0,0,4,9,"6,8",0,0,0,0,2,"2,4,6",5,2,4,"[3, 4.0]","[2, 6.0]",6.0,5.0,0.0,0.0,0.0,0.0,2.0
2,3,5,1.0,3.0,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2,2,5,1,5,5,5,5,5,1,1,2,4,1,2,1,1.0,4.0,4,1,0.0,0.0,2,4.0,0.0,1,3,3,0.0,3,2,0,0,0,0,3,"1,2",2,2,2,0,1,2,1,1,2,0,3,"1,7",5,0,2,3,0,0,0,2,0,"1,4",0,0,"2,4",0,0,4,0,0,0,2,7,1,2,"1,2,3","[3, 4.0]","[4, 99.0]",0.0,5.0,1.0,0.0,0.0,0.0,0.0
1,5,1,0.0,4.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,2.0,5.0,0.0,7.0,0.0,0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1.0,2.0,6,1,0.0,0.0,1,0.0,3.0,0,3,1,0.0,0,0,1,1,1,1,3,"1,2,3,6,7","1,2,6","2,6","1,2,6",3,0,0,0,0,4,12,"1,2,3","1,6","1,3,8",0,1,1,0,"1,2,3","2,4,5,6,9",0,1,0,4,"1,5",0,1,"6,9",0,1,"2,4,6",4,1,"3,8","2,4",1,1,"[3, 4.0]","[1, 6.0]",0.0,3.0,2.0,1.0,1.0,4.0,5.0
2,3,5,3.0,4.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,3.0,0,0.0,0.0,0.0,2,2,2,5,4,5,5,5,5,6,3,2,3,0,3,2,3,0.0,0.0,2,3,1.0,0.0,3,3.0,0.0,1,1,4,0.0,3,2,1,2,0,0,"2,3,4","1,2,3,7","2,3","1,2","2,3",3,0,0,0,0,4,12,"2,3,7","1,5,7,8","4,5",0,3,1,0,3,"2,5,6,8",0,8,0,0,0,"1,2",1,"1,6",0,0,0,0,"2,3","1,3,7,8","1,4,5",2,"1,2,3","[2, 4.0]","[1, 4.0]",0.0,3.0,2.0,3.0,1.0,0.0,6.0
1,1,4,1.0,5.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,4.0,3.0,2.0,6.0,0.0,2.0,1.0,2.0,3.0,5.0,0.0,2.0,4.0,1.0,2.0,3.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1,1,1,1,3,2,2,2,1,2,1,1,1,4,1,3,1,1.0,2.0,5,1,0.0,0.0,3,7.0,0.0,0,4,5,0.0,"2,3","1,2",0,0,"1,3",1,"2,4","1,3","1,3","1,2",2,3,0,0,0,0,4,12,"1,2,3","1,2,4","4,8",0,"1,2,6","1,2,4",0,1,"4,5,9",0,1,0,"1,4",5,0,"1,7","1,3,6",0,1,7,0,"1,2,3","1,3,4",1,1,"1,2,3","[3, 99.0]","[6, 1.0]",0.0,4.0,5.0,4.0,6.0,11.0,3.0
1,3,3,0.0,2.0,2.0,10,12.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,8.0,4.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1,1,1,1,2,1,1,2,2,2,1,1,1,2,1,3,3,0.0,0.0,6,1,0.0,0.0,2,5.0,0.0,0,2,4,0.0,0,0,0,0,0,0,"2,4","1,5,8","2,3","1,2","2,3",0,"1,3","2,3","1,2,11",10,2,0,"1,3,7","1,6,8","3,5",0,0,0,4,0,0,"1,7,8",0,4,"1,2","5,8",0,"1,9","6,8,9",0,1,2,0,"2,3","3,4","1,2,8","1,2","1,2,3","[4, 1.0]","[1, 4.0]",12.0,4.0,0.0,0.0,0.0,10.0,1.0
2,1,1,0.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2,2,5,5,5,4,5,5,5,3,3,3,2,3,2,1,1.0,7.0,2,1,0.0,0.0,1,0.0,3.0,0,1,5,0.0,0,0,1,2,0,0,0,0,0,0,0,"1,3",0,0,0,0,4,12,0,0,0,"1,4",2,5,0,0,0,"1,4",0,5,1,6,0,0,0,1,0,0,0,2,"3,7",4,2,4,"[99, nan]","[6, 1.0]",0.0,0.0,3.0,0.0,0.0,3.0,0.0
2,6,1,0.0,4.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0,0.0,0.0,0.0,12,12,12,6,6,6,6,6,6,6,3,3,3,3,3,3,1,0.0,0.0,3,0,0.0,0.0,1,0.0,0.0,0,3,3,0.0,0,0,0,0,0,0,2,1,2,2,2,0,6,7,5,10,0,0,8,9,10,0,0,0,1,0,0,11,0,11,0,0,11,11,11,0,6,10,0,2,4,11,6,4,"[99, nan]","[99, nan]",0.0,5.0,0.0,0.0,0.0,0.0,1.0
1,4,3,0.0,3.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,1,1,1,1,0,0,2,2,4,1,1,1,1,0,1,0,4,0.0,0.0,3,1,0.0,0.0,2,0.0,0.0,0,4,2,0.0,0,0,0,0,0,0,3,"1,3",2,2,2,5,0,0,0,0,4,12,1,1,8,0,0,0,6,0,0,5,0,6,0,0,4,0,0,6,0,0,1,2,9,11,1,4,"[99, nan]","[4, 6.0]",0.0,2.0,0.0,0.0,0.0,0.0,0.0
2,3,3,0.0,4.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,2.0,4.0,4.0,1.0,2.0,0.0,2.0,0.0,1,0.0,3.0,3.0,2,2,2,4,0,3,3,4,3,5,2,1,2,0,2,0,4,0.0,0.0,2,1,0.0,0.0,1,3.0,0.0,0,4,4,0.0,0,0,3,"1,2",0,0,3,"2,3,6,7","1,2","2,6",2,3,0,0,0,0,4,12,3,1,"1,5,8",0,0,0,2,2,"1,2,5,6",0,1,0,1,5,0,"1,6","6,9",0,1,2,6,"1,2","3,4","1,2,7","1,2",4,"[4, 3.0]","[1, 6.0]",0.0,5.0,0.0,3.0,2.0,12.0,2.0
2,3,5,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2,2,5,0,0,5,0,5,0,2,1,2,2,2,2,4,0.0,0.0,1,1,0.0,0.0,1,2.0,0.0,1,4,4,0.0,0,0,0,0,0,0,3,"1,3,5",2,2,2,3,0,0,0,0,4,12,0,0,0,11,0,0,"5,8",0,0,"6,7",0,4,0,0,9,0,0,6,0,0,0,7,9,12,2,4,"[99, nan]","[99, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2,0.0,4.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1.0,2.0,6,1,0.0,0.0,2,0.0,4.0,1,2,3,0.0,0,0,0,0,0,0,3,5,"1,2",2,2,3,0,0,0,0,4,12,0,0,0,12,1,9,0,0,0,"1,4",0,4,0,0,4,0,0,4,0,0,0,"1,2",9,4,1,"1,2,3","[99, nan]","[4, 6.0]",0.0,0.0,2.0,0.0,0.0,0.0,0.0
2,1,4,2.0,4.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0,2.0,3.0,0.0,1,2,2,1,4,5,5,5,5,0,1,1,1,5,1,5,3,0.0,0.0,1,0,1.0,0.0,3,0.0,0.0,1,0,5,0.0,0,0,0,0,0,0,"2,3","2,3",2,2,2,3,0,0,0,0,4,12,"2,3","1,4","3,5",0,0,0,"3,7",2,"5,8,11",0,0,"3,5",0,0,5,"6,10","6,8",0,2,7,0,2,"3,4","1,4",1,"1,2","[3, 4.0]","[1, 3.0]",0.0,4.0,0.0,1.0,0.0,0.0,3.0
1,1,5,0.0,5.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,4.0,0.0,2.0,5.0,0.0,2.0,2.0,4.0,4.0,8.0,3.0,1.0,3.0,1,0.0,2.0,0.0,1,1,1,1,2,3,2,2,2,1,1,1,1,4,1,5,3,0.0,0.0,3,3,1.0,0.0,3,4.0,0.0,1,1,5,0.0,0,0,0,0,3,1,"2,3,4","1,3,7","1,2,3",1,"2,3",3,0,0,0,0,4,12,"1,2,3","1,7","4,8",0,1,"1,7",0,"2,3","2,6,9",0,7,0,1,"1,6",0,"1,8","1,6,8",0,"2,3","2,7",0,"1,2,3","1,3,4","1,4",1,"1,2,3","[4, 3.0]","[1, 6.0]",0.0,4.0,3.0,2.0,3.0,11.0,8.0
2,3,4,3.0,4.0,2.0,4,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,2.0,6.0,2.0,1.0,1.0,0.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,4.0,3.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2,2,2,2,3,6,1,1,5,3,3,1,3,5,3,4,1,1.0,5.0,4,4,1.0,4.0,2,4.0,0.0,1,2,1,0.0,0,0,0,0,0,0,4,"1,2",2,1,2,0,1,2,"2,4",10,2,0,"1,2,3","1,4,5",4,0,2,"1,3,5",0,2,1,0,2,0,1,2,0,6,6,0,0,0,0,2,"1,7",2,"1,2","1,2,3","[3, 2.0]","[2, 1.0]",0.0,4.0,5.0,6.0,1.0,8.0,3.0
2,3,2,1.0,4.0,3.0,2,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2,2,2,4,3,6,3,3,3,4,3,1,3,5,3,5,1,1.0,3.0,5,1,0.0,0.0,2,0.0,4.0,0,3,4,0.0,2,2,2,"1,2,3",0,0,"3,4","1,2,3,7",2,"1,2","2,3","3,10",0,0,0,0,4,12,3,"1,2","3,4",0,"1,2,3","1,2",0,2,"2,9",0,0,1,0,0,"1,2",1,6,0,0,0,0,2,"1,3",1,2,"1,2,3","[3, 4.0]","[4, 1.0]",0.0,4.0,1.0,2.0,0.0,0.0,1.0
